ts, humidity, pm10, pm25, temp
2019-05-03T16:51:00Z,44.79,6,2,23.61
2019-05-03T16:52:00Z,44.94,4,3,23.59
2019-05-03T16:53:00Z,44.8,5,1,23.58
2019-05-03T16:54:00Z,44.88,3,1,23.56
2019-05-03T16:55:00Z,44.96,3,1,23.52
2019-05-03T16:56:00Z,44.99,3,1,23.5
2019-05-03T16:57:00Z,44.95,2,0,23.48
2019-05-03T16:58:00Z,45.01,4,1,23.46
2019-05-03T16:59:00Z,45.03,6,2,23.42
2019-05-03T17:00:00Z,45.06,3,2,23.4
2019-05-03T17:01:00Z,45.11,2,1,23.37
2019-05-03T17:02:00Z,45.16,2,1,23.33
2019-05-03T17:03:00Z,45.22,5,1,23.29
2019-05-03T17:04:00Z,45.31,1,1,23.25
2019-05-03T17:05:00Z,45.33,0,0,23.23
2019-05-03T17:06:00Z,45.38,4,0,23.19
2019-05-03T17:07:00Z,45.42,0,0,23.15
2019-05-03T17:08:00Z,45.49,3,0,23.13
2019-05-03T17:09:00Z,45.53,1,1,23.09
2019-05-03T17:10:00Z,45.59,0,0,23.05
2019-05-03T17:11:00Z,45.68,3,0,23.02
2019-05-03T17:12:00Z,45.7,2,0,22.99
2019-05-03T17:13:00Z,45.78,2,0,22.94
2019-05-03T17:14:00Z,45.83,0,0,22.91
2019-05-03T17:15:00Z,45.91,0,0,22.87
2019-05-03T17:16:00Z,46.01,1,0,22.82
2019-05-03T17:17:00Z,46.02,4,0,22.8
2019-05-03T17:18:00Z,46.08,3,1,22.77
2019-05-03T17:19:00Z,46.12,3,1,22.75
2019-05-03T17:20:00Z,46.17,3,1,22.73
2019-05-03T17:21:00Z,46.19,0,0,22.71
2019-05-03T17:22:00Z,46.23,1,0,22.69
2019-05-03T17:23:00Z,46.24,4,0,22.66
2019-05-03T17:25:00Z,46.36,2,0,22.6
2019-05-03T17:25:00Z,46.36,2,0,22.6
2019-05-03T17:26:00Z,46.41,5,0,22.58
2019-05-03T17:27:00Z,46.44,1,0,22.55
2019-05-03T17:28:00Z,46.49,1,0,22.53
2019-05-03T17:29:00Z,46.57,1,0,22.51
2019-05-03T17:30:00Z,46.55,2,0,22.48
2019-05-03T17:31:00Z,46.58,0,0,22.46
2019-05-03T17:32:00Z,46.62,2,0,22.43
2019-05-03T17:33:00Z,46.67,3,1,22.39
2019-05-03T17:34:00Z,46.73,4,0,22.37
2019-05-03T17:36:00Z,46.83,3,1,22.31
2019-05-03T17:36:00Z,46.83,3,1,22.31
2019-05-03T17:37:00Z,46.87,4,2,22.28
2019-05-03T17:38:00Z,46.9,0,0,22.25
2019-05-03T17:39:00Z,46.96,3,0,22.23
2019-05-03T17:40:00Z,47,3,0,22.19
2019-05-03T17:41:00Z,47.06,0,0,22.18
2019-05-03T17:42:00Z,47.07,3,3,22.16
2019-05-03T17:43:00Z,47.11,4,3,22.14
2019-05-03T17:44:00Z,47.17,3,1,22.11
2019-05-03T17:45:00Z,47.24,3,0,22.08
2019-05-03T17:46:00Z,47.31,2,0,22.06
2019-05-03T17:47:00Z,47.29,0,0,22.04
2019-05-03T17:48:00Z,47.29,0,0,22.02
2019-05-03T17:49:00Z,47.37,3,0,21.98
2019-05-03T17:50:00Z,47.39,3,0,21.95
2019-05-03T17:51:00Z,47.41,3,1,21.93
2019-05-03T17:52:00Z,47.49,2,0,21.89
2019-05-03T17:53:00Z,47.5,5,0,21.87
2019-05-03T17:54:00Z,47.54,2,0,21.84
2019-05-03T17:55:00Z,47.6,0,0,21.83
2019-05-03T17:56:00Z,47.59,1,0,21.8
2019-05-03T17:57:00Z,47.67,1,0,21.77
2019-05-03T17:58:00Z,47.68,2,0,21.75
2019-05-03T17:59:00Z,47.69,1,0,21.73
2019-05-03T18:01:00Z,47.77,1,0,21.68
2019-05-03T18:01:00Z,47.77,1,0,21.68
2019-05-03T18:03:00Z,47.89,0,0,21.6
2019-05-03T18:03:00Z,47.89,0,0,21.6
2019-05-03T18:05:00Z,47.93,2,0,21.56
2019-05-03T18:05:00Z,47.93,2,0,21.56
2019-05-03T18:06:00Z,48.04,4,1,21.51
2019-05-03T18:07:00Z,48.12,2,0,21.48
2019-05-03T18:08:00Z,48.19,1,0,21.44
2019-05-03T18:09:00Z,48.25,2,0,21.41
2019-05-03T18:10:00Z,48.27,2,0,21.39
2019-05-03T18:11:00Z,48.34,2,1,21.34
2019-05-03T18:12:00Z,48.43,3,0,21.32
2019-05-03T18:13:00Z,48.48,1,1,21.29
2019-05-03T18:14:00Z,48.56,0,0,21.26
2019-05-03T18:15:00Z,48.62,0,0,21.23
2019-05-03T18:16:00Z,48.68,3,2,21.2
2019-05-03T18:17:00Z,48.74,1,1,21.18
2019-05-03T18:18:00Z,48.78,4,0,21.16
2019-05-03T18:19:00Z,48.81,0,0,21.13
2019-05-03T18:20:00Z,48.87,2,0,21.11
2019-05-03T18:22:00Z,49,2,1,21.07
2019-05-03T18:23:00Z,49.05,1,1,21.05
2019-05-03T18:23:00Z,49.05,1,1,21.05
2019-05-03T18:24:00Z,49.14,2,0,21.03
2019-05-03T18:25:00Z,49.23,1,0,21
2019-05-03T18:26:00Z,49.28,3,1,20.99
2019-05-03T18:27:00Z,49.33,5,2,20.97
2019-05-03T18:29:00Z,49.46,2,0,20.93
2019-05-03T18:29:00Z,49.46,2,0,20.93
2019-05-03T18:30:00Z,49.52,1,1,20.9
2019-05-03T18:31:00Z,49.56,2,0,20.88
2019-05-03T18:32:00Z,49.64,2,0,20.86
2019-05-03T18:33:00Z,49.71,0,0,20.84
2019-05-03T18:34:00Z,49.79,2,0,20.82
2019-05-03T18:36:00Z,49.84,0,0,20.79
2019-05-03T18:36:00Z,49.84,0,0,20.79
2019-05-03T18:37:00Z,49.91,0,0,20.77
2019-05-03T18:38:00Z,49.97,2,0,20.75
2019-05-03T18:39:00Z,50.02,0,0,20.74
2019-05-03T18:41:00Z,50.07,2,1,20.71
2019-05-03T18:41:00Z,50.07,2,1,20.71
2019-05-03T18:42:00Z,50.08,4,0,20.69
2019-05-03T18:43:00Z,50.12,1,1,20.68
2019-05-03T18:44:00Z,50.16,1,0,20.67
2019-05-03T18:46:00Z,50.25,0,0,20.62
2019-05-03T18:46:00Z,50.25,0,0,20.62
2019-05-03T18:47:00Z,50.29,4,3,20.61
2019-05-03T18:48:00Z,50.32,4,2,20.59
